Title	Chrds	Prnt	Mp3	Rank	Year	RB1	RB2	RB3	NRB1	NRB2	NRB3	SRB	Aebersold
Dancing in the Dark				257	1931							y	081,110,113,
Dancing on the Ceiling				671	1930	y						y	
Danny Boy				649	Trad.								
Dark Eyes				397	1884			y					
Darktown Strutters' Ball				547	1917								100,
Darn That Dream				70	1939	y			y				089,
Davenport Blues				757	1927								
Day By Day				695	1945		y			y			i,059,
Day Dream				237	1941			y			y		
Day In, Day Out				503	1939							y	
Days of Wine and Roses				135	1962							y	040,107,
Dear Old Southland				589	1921								
Dear Old Stockholm				430	Trad.	y							i,091,
Dearly Beloved				595	1942	y							055,
Dedicated to You				573	1936	y						y	
Deed I Do				338	1926			y					
Deep in a Dream				740	1938								
Deep Night				836	1929								
Deep Purple				295	1934							y	
Deep River				651	Trad.								
Desafinado				713	1959	y			y				031,074,098,
Detour Ahead				572	1948	y				y			
Dexterity				859	1947	y							
Dinah				134	1925		y						
Dindi				694	1965		y		y				
Dizzy Atmosphere				881	1944	y							
Django				211	1954	y				y			
Do Nothin' Till You Hear from Me				93	1943		y		y				
Do You Know What It Means To Miss New Orleans				687	1946		y						i,
Doggin' Around				998	1938								
Dolphin Dance				742	1966	y					y		011,
Don't Be That Way				183	1938						y		
Don't Blame Me				38	1932	y					y		034,074,
Don't Explain				253	1944		y						
Don't Get Around Much Anymore				104	1942	y			y				048,
Don't Go to Strangers				832	1954								
Don't Take Your Love from Me				521	1941			y					
Don't Worry 'Bout Me				177	1939			y				y	
Don't You Know I Care				452	1944								
Donna Lee				194	1947	y							006,069,
Doxy				691	1954		y					y	h,008,054,
Dream				442	1945								085,
Dream Dancing				910	1941			y				y	112,
Dream Of You				995	1934								
Drop Me Off In Harlem				566	1933			y					
Early Autumn				389	1949		y		y				i,040,
East Of The Sun (And West Of The Moon)				125	1934			y					071,107,118,
Easter Parade				662	1933	y							
Easy Does It				949	1940								
Easy Living				80	1937	y							022,052,059,
Easy to Love				122	1936	y						y	112,117,
Echoes of Harlem				969	1936								
Embraceable You				24	1930							y	051,110,113,
Emily				506	1964						y		052,
End Of A Love Affair	y	y	y	392	1950			y					093,
Epistrophy				346	1942	y							056,
Equinox			y	903	1960	y				y			h,
Estate				720	1960		y						094,
Ev'ry Time We Say Goodbye				220	1944			y					
Ev'rything I Love				773	1941			y					112,
Ev'rything I've Got (Belongs to You)				842	1942								
Every Day I Have the Blues				976	1950								
Every Tub				931	1938								
Everybody Loves My Baby				507	1924								
Everything but You				811	1945								
Everything Happens to Me				102	1941			y	y				023,
Everything I Have Is Yours				579	1933		y				y		072,
Everything Must Change				761	1974							y	
Evidence				497	1948								
Exactly Like You				113	1930			y		y			
Exodus				822	1960								
Falling in Love with Love				289	1938	y						y	071,118,
Farewell Blues				413	1922								
Fascinating Rhythm				329	1924							y	
Fever				856	1956		y						
Fidgety Feet				823	1919								
Fine and Dandy				358	1930								
Fine and Mellow				941	1940			y					
Five O'clock Whistle				803	1940								
Flamingo				146	1941					y			049,
Fly Me to the Moon	y	y	y	352	1954		y			y			065,
Flying Home				256	1940		y						
Fools Rush in (Where Angels Fear to Tread)				460	1940								041,097,107,
Footprints				618	1966	y			y				033,054,
For All We Know				111	1934	y					y		
For Heavens Sake				456	1946	y							089,
For Sentimental Reasons				863	1945	y							
For You				723	1930								
Four				537	1954	y			y				i,007,065,067,
Four Brothers				942	1948		y		y				046,
Four or Five Times				741	1927								
Frankie and Johnny				514	Trad.								
Frenesi				438	1939								
From This Moment On				390	1950			y				y	112,117,
Gee Baby Ain't I Good to You				150	1929	y			y				123,
Georgia on My Mind	y	y	y	44	1930		y						049,
Get Happy				169	1929			y		y			
Get Out of Town				410	1938		y					y	112,117,
Giant Steps	y	y	y	254	1959	y				y			028,065,068,075,
Girl Talk				611	1965		y						
Glad to Be Unhappy				825	1936			y					
Gloomy Sunday				674	1936								
God Bless the Child				170	1941	y							
God Rest Ye Merry Gentlemen				729	Trad.								125,
Goin' Out of My Head				883	1964								
Goin' to Chicago Blues				535	1941								
Gone with the Wind				143	1937			y	y				058,
Good Bait				277	1944							y	065,099,
Good Morning Heartache				316	1945			y	y				
Goodbye				117	1935								094,
Goodbye Pork Pie Hat				610	1959								
Goodnight My Love				743	1936								
Green Dolphin Street	y	y	y	25	1947						y		034,059,081,085,090,093,118,
Green Eyes (Aquellos Ojos Verdes)				745	1929			y					
Greensleeves				403	Trad.								125,
Groovin' High				186	1944	y							i,043,
Guilty				759	1931	y							
Half Nelson				894	1948	y							005,
Hallelujah				384	1927								
Happiness Is a Thing Called Joe				721	1942								
Harlem Nocturne				807	1943			y		y			
Harvard Blues				994	1942								
Haunted Heart				880	1948			y					
Have You Met Miss Jones				222	1937	y						y	025,074,
Have Yourself a Merry Little Christmas				457	1944								078,
Heart and Soul				815	1938			y					
Heat Wave				959	1933			y			y		
Hello Dolly				758	1964								
Hello Young Lovers				928	1951	y							
Here's That Rainy Day				100	1953	y			y				023,
Honeysuckle Rose				15	1929		y			y			071,
Hot House				383	1945							y	094,099,
How About You				450	1941								020,
How Am I to Know				582	1929								
How Come You Do Me Like You Do				690	1924								
How Deep Is the Ocean				49	1932			y					
How High the Moon	y	y	y	21	1940	y							006,118,
How Insensitive				552	1963	y						y	031,098,
How Long Has This Been Going On				213	1927							y	051,
How Long, How Long Blues				559	1929								
Humoresque				668	1894								
I Ain't Got Nobody (and Nobody Cares for Me)				415	1915			y					
I Ain't Got Nothin' but the Blues				888	1944			y					
I Believe in You				963	1961		y			y			
I Can't Believe That You're in Love with Me				166	1926			y					
I Can't Escape from You				726	1936								
I Can't Get Started	y	y	y	5	1935	y						y	025,074,110,113,118,
I Can't Give You Anything but Love				162	1928	y							089,
I Can't Stop Loving You				920	1958								
I Concentrate on You				290	1939			y				y	112,117,
I Could Have Danced All Night				841	1956			y					
I Could Write a Book				455	1940	y						y	025,110,113,
I Cover the Waterfront				50	1933							y	040,097,107,
I Cried for You				245	1923			y					
I Didn't Know About You				500	1944							y	048,
I Didn't Know What Time It Was				82	1939			y				y	110,113,
I Don't Know Why (I Just Do)				464	1931			y					
I Fall in Love Too Easily				300	1944						y		059,123,
I Get a Kick Out of You				139	1934							y	051,112,
I Get Along Without You Very Well				661	1939		y						
I Got It Bad (and That Ain't Good)				61	1941	y					y		048,
I Got Rhythm				73	1930							y	006,007,008,020,047,051,
I Gotta Right to Sing the Blues				528	1932			y				y	
I Guess I'll Have to Change My Plan				753	1929							y	
I Hadn't Anyone Till You				286	1938					y			058,
I Hear a Rhapsody				227	1940		y				y		080,085,
I Hear Music				414	1940			y					
I Know That You Know				285	1926								040,
I Left My Heart in San Francisco				971	1954			y					034,
I Let a Song Go Out of My Heart				152	1938	y							012,
I Love Paris				553	1953	y						y	
I Love You	y	y	y	119	1944	y						y	025,112,117,
I Loves You Porgy				270	1935							y	
I May Be Wrong				626	1929							y	
I Mean You				625	1947	y			y				036,056,
I Must Have That Man				564	1928								
I Never Knew				303	1925								
I Only Have Eyes for You				191	1934							y	110,113,
I Remember Clifford				138	1957	y							014,
I Remember You	y	y	y	116	1942		y						022,
I See Your Face Before Me				902	1937								
I Should Care				47	1944	y			y				i,023,
I Surrender Dear				95	1931								
I Thought About You				108	1939		y		y	y			041,107,110,113,
I Waited for You				866	1946								
I Want a Little Girl				360	1930								
I Want to Be Happy				215	1924							y	
I Want to Talk About You				905	1946								
I Wish I Knew				312	1945								071,
I Wish You Love				984	1946			y					
I Wished on the Moon				386	1935			y					
I Won't Dance				999	1935			y					
I'll Be Around				272	1942			y		y			
I'll Be Seeing You				453	1938			y					
I'll Close My Eyes				865	1945			y					
I'll Get By (As Long As I Have You)				531	1928			y		y			
I'll Never Be the Same				210	1932								
I'll Never Smile Again				428	1939	y							
I'll Remember April	y	y	y	29	1941	y							043,
I'll See You in My Dreams	y	y	y	473	1924								
I'll String Along with You				844	1934								
I'll Take Romance				672	1937			y	y				058,
I'll Walk Alone				735	1944								
I'm a Fool to Want You				319	1951		y					y	051,
I'm an Old Cowhand (From the Rio Grande)				896	1936								041,
I'm Beginning to See the Light				229	1944	y							
I'm Coming Virginia				226	1927								
I'm Confessin' That I Love You				258	1930		y						058,
I'm Crazy 'Bout My Baby				686	1931								
I'm Gettin' Sentimental Over You	y	y	y	176	1933								052,
I'm Glad There Is You				357	1941			y		y			046,
I'm Gonna Sit Right Down and Write Myself a Letter				515	1935								
I'm in the Mood for Love				195	1935								072,
I'm Just a Lucky So and So				363	1945		y						
I'm Just Wild About Harry				964	1921								
I'm Old Fashioned				250	1942			y					055,
I'm Putting All My Eggs in One Basket				884	1936		y						
I'm Thru with Love				636	1931								072,
I'm Yours				794	1930								
I've Found a New Baby				78	1926		y						
I've Got a Crush on You				487	1930							y	
I've Got a Feeling I'm Falling				702	1929								
I've Got My Love to Keep Me Warm				904	1937			y					
I've Got the World on a String				184	1932			y		y			
I've Got You Under My Skin				160	1936			y				y	112,117,
I've Grown Accustomed to Her Face				304	1956			y					025,
I've Never Been in Love Before				465	1950			y		y			
Idaho				955	1942								089,
If Dreams Come True				491	1934								
If I Could Be with You (One Hour Tonight)				155	1926								
If I Had You				65	1928								
If I Loved You				788	1945		y						
If I Should Lose You				179	1935		y						022,
If I Were a Bell				466	1950		y		y				046,
If You Could See Me Now				127	1946						y		072,099,
Ill Wind				234	1934			y		y			046,
Imagination				178	1939		y		y				023,058,
Impressions				771	1961	y				y			028,054,
In A Little Spanish Town				667	1926			y					
In A Mellow Tone	y	y		140	1940	y					y		048,
In a Sentimental Mood			y	19	1935	y					y		012,
In the Mood				775	1939	y							
In the Still of the Night				209	1937		y						112,117,
In the Wee Small Hours of the Morning				340	1955	y				y			
In Walked Bud				495	1947		y		y				056,
In Your Own Sweet Way				223	1955					y			105,
Indian Summer				267	1919			y				y	039,
Indiana (Back Home Again In)				41	1917		y						006,061,080,084,100,123,
Invitation	y	y		252	1952	y					y		034,059,
Is You Is or Is You Ain't (Ma' Baby)				805	1943	y							
Isfahan				718	1964			y		y			066,
Isn't It Romantic				337	1932	y							
Isn't She Lovely				763	1976								
Israel	y	y	y										
It Ain't Necessarily So				420	1935							y	
It All Depends on You				937	1926			y					
It Came Upon a Midnight Clear				989	1850								125,
It Could Happen to You				60	1944		y						022,
It Don't Mean a Thing				84	1932	y				y			059,
It Had to Be You				361	1924							y	107,
It Might As Well Be Spring				114	1945		y						025,
It Never Entered My Mind				181	1940			y				y	
It's a Blue World				676	1939		y						
It's a Wonderful World				778	1939								
It's All Right with Me				279	1953		y					y	112,
It's Been a Long, Long Time				962	1945			y					
It's Easy to Remember				527	1935	y							
It's Magic				689	1948							y	
It's Only a Paper Moon	y	y	y	154	1933		y			y			
It's the Talk of the Town				255	1933			y		y			095,
It's Wonderful				852	1938								
It's You or No One	y	y		372	1948			y				y	061,068,
Ja-Da				658	1918								079,
Jazz Me Blues				380	1921								
Jeep Is Jumpin'				738	1938								
Jeepers Creepers				308	1938								
Jersey Bounce				801	1941			y	y				
Jim				870	1941								
Jingle Bells				275	1859								125,
Jitterbug Waltz				200	1942		y				y		072,
Jive At Five				767	1939								
Johnny Come Lately				834	1944								066,
Jordu				654	1953	y				y			
Joy Spring				511	1954	y							
Jump for Joy				935	1941								
Jumpin' At the Woodside				436	1938								
Jumpin' with Symphony Sid				712	1949		y						
Just a Closer Walk with Thee				781	Trad.								
Just a Gigolo				583	1930			y					
Just A-Sittin' and A-Rockin'				461	1945								
Just Friends				85	1931						y		020,034,059,
Just in Time				230	1956		y						
Just One of Those Things				74	1935							y	051,112,117,
Just Squeeze Me				231	1941			y			y		048,071,
Just You, Just Me				90	1929						y		072,
Kansas City				929	1952								
Keepin' Out of Mischief Now				378	1932								
Killer Joe				628	1959		y			y			h,014,070,120,
King Porter Stomp				306	1910								
Lady Bird				458	1947	y			y				036,070,099,
Lament				820	1954	y							111,
Last Night When We Were Young				526	1937		y						
Laura				35	1945						y		034,118,
Lazy Afternoon				643	1954			y					
Lazy River				682	1931	y							
Lester Leaps In				219	1940								
Let It Snow Let It Snow Let It Snow				554	1945								078,
Let Me Off Uptown				934	1941								
Let's Call the Whole Thing Off				766	1936							y	
Let's Dance				990	1935								
Let's Do It (Let's Fall in Love)				797	1928							y	
Let's Face the Music and Dance				616	1935			y					
Let's Fall in Love				480	1933		y			y			058,
Li'l Darlin'				291	1957							y	
Like Someone In Love			y	147	1944	y			y				020,023,058,
Limehouse Blues				174	1922	y							091,100,
Linger Awhile				666	1923			y					
Little Girl Blue				124	1935			y					
Little White Lies				680	1930			y					
Liza (All the Clouds'll Roll Away)				189	1929								
Lonesome Road				574	1928								
Long Ago And Far Away				299	1944	y							055,
Look for the Silver Lining				673	1920		y						080,
Lost in the Stars				688	1949			y					
Lotus Blossom				886	1947		y						
Louise				408	1929								
Love Dance				604	1980								
Love for Sale				30	1930							y	040,107,112,117,118,
Love Is Here to Stay				57	1938							y	025,110,113,
Love Is Just Around the Corner				821	1934		y						
Love Letters				309	1945			y					
Love Me or Leave Me				206	1928			y				y	
Love Walked In				201	1937							y	
Love You Madly				567	1950			y					
Loveless Love				715	1921								
Lover				118	1932		y						022,061,
Lover Come Back to Me				69	1928			y				y	018,041,061,097,
Lover Man	y	y	y	7	1942		y						032,
Lullaby in Rhythm				586	1938						y		
Lullaby of Birdland				153	1952	y							040,
Lullaby of Broadway				992	1935							y	
Lullaby of the Leaves				251	1932			y		y			058,
Lulu's Back in Town				581	1935								
Lush Life	y	y	y	36	1949	y			y				032,066,
Mack the Knife				110	1928								
Maiden Voyage				952	1965	y					y		011,054,081,085,
Main Stem				502	1942								
Make Believe				936	1927								
Make Someone Happy				890	1960		y						
Makin' Whoopee				202	1928			y					
Mambo Inn				938	1952								064,
Manhattan				489	1925			y					
Manteca				490	1948		y						064,
Maple Leaf Rag				889	1899								
Margie				268	1920								079,100,
Maria				591	1957								
Marie				838	1928								
Mas Que Nada				887	1963			y					
Maybe				983	1926								
Maybe You'll Be There				864	1947								
Mean to Me				75	1929			y		y			065,
Meaning of the Blues				730	1957								
Meditation				685	1962	y						y	031,098,
Memories of You				83	1930		y			y			
Memphis Blues				725	1912								
Midnight Sun				325	1947			y	y				
Milestones				287	1958			y					007,050,
Misterioso				484	1948								
Misty	y	y	y	56	1954	y			y				041,049,070,107,
Moanin'				565	1959		y						
Moment's Notice				576	1957	y				y			038,065,
Monk's Dream				798	1962								
Monk's Mood				542	1946		y		y				056,
Mood Indigo				161	1930	y				y			012,
Moon River				684	1961		y						
Moon Song (That Wasn't Meant for Me)				776	1933								
Moonglow				128	1934		y				y		059,
Moonlight Becomes You				907	1942			y					
Moonlight in Vermont				141	1944			y	y				i,065,
Moonlight Serenade				882	1939						y		
Moose the Mooche				699	1946		y						i,069,
More				769	1963			y					
More Than You Know				72	1929		y			y			
Moten Swing				249	1932		y						
Move				510	1949		y						
Muskrat Ramble				342	1926								
My Baby Just Cares for Me				922	1930			y					
My Blue Heaven				406	1927			y					
My Buddy				496	1922	y							
My Favorite Things				333	1959	y							025,090,
My Foolish Heart				103	1949	y							025,
My Funny Valentine	y	y	y	6	1937	y						y	025,107,
My Heart Belongs to Daddy				584	1938			y					
My Heart Stood Still				246	1927			y				y	071,
My Honey's Lovin' Arms				873	1922								
My Ideal				379	1930			y					022,
My Little Suede Shoes				587	1951		y						006,069,
My Man				472	1921			y					
My Man's Gone Now				481	1935							y	
My Melancholy Baby				164	1911			y					080,
My Monday Date				845	1928								
My Old Flame				101	1934		y						022,
My One and Only Love				97	1953	y							051,
My Reverie				862	1938								
My Romance				91	1935	y							
My Shining Hour				307	1943	y			y				044,
My Ship				292	1941	y				y			089,
My Silent Love				746	1932			y					
Nagasaki				617	1928								
Naima				263	1959	y				y			027,
Namely You				782	1956								040,097,
Nancy (with the Laughing Face)				622	1944			y				y	040,
Nardis				633	1959	y							050,
Nature Boy				115	1948		y		y				
Never Let Me Go				332	1956			y					
New Orleans				867	1932								
Nica's Dream	y	y	y	418	1956	y				y			018,065,081,
Nice Work If You Can Get It				158	1937							y	
Night and Day			y	33	1932							y	051,112,117,
Night in Tunisia				40	1942	y							043,111,
Night Train				638	1952	y							
No Moon At All				569	1948			y		y			
No More				659	1944								
Nobody Else but Me				657	1946			y					
Nobody Knows the Trouble I've Seen				538	Trad.								
Nobody Knows You When You're Down and Out				979	1923	y							
Nobody's Sweetheart Now				843	1924								
Now It Can Be Told				970	1938								
Now's The Time			y	354	1945		y						006,
Nuages	y	y	y	504	1939	y							
O Little Town of Bethlehem				977	1868								125,
Off Minor				876	1947		y		y				056,
Oh You Crazy Moon				783	1939								
Oh, Lady Be Good				22	1924							y	039,
Ol' Man River				236	1927								
Old Devil Moon				242	1946		y						025,
Old Folks				144	1938							y	071,
Old Folks at Home				492	1851								
Oleo				280	1954	y			y				008,065,
On a Clear Day (You Can See Forever)				800	1966			y				y	094,
On a Slow Boat to China				630	1948			y					091,
On the Alamo				359	1922								
On the Street Where You Live				330	1956			y					
On the Sunny Side of the Street				55	1930		y	y		y			049,
On the Trail				641	1933								034,
Once I Loved				683	1963	y			y				i,031,098,
Once in a While				262	1937					y			034,
One for My Baby (And One More for the Road)				739	1943			y	y				
One Note Samba				533	1961	y							031,098,
One O'clock Jump				175	1938								071,
Opus One				948	1943								
Organ Grinder's Swing				736	1936								
Ornithology				462	1946	y							i,006,069,093,
Our Delight				467	1946								091,099,
Out of Nowhere				68	1931	y							020,022,059,
Out of This World				434	1944			y	y				046,
Over the Rainbow (Somewhere)				63	1938						y		034,
Ow				858	1947								
P.S. I Love You				774	1934	y							
Panama				493	1911								
Pannonica				494	1956		y						
Parker's Mood				488	1948								
Passion Flower				411	1944	y							
Peace				923	1959	y				y			i,017,
Peg O' My Heart				655	1913								080,
Pennies from Heaven				81	1936		y						
Penthouse Serenade				580	1931	y							
People				508	1963			y					
People Will Say We're in Love				806	1943		y						
Perdido				58	1942		y			y			012,065,067,
Perfidia				885	1939								
Pick Yourself Up				550	1936		y						055,
Pinetop's Boogie Woogie				965	1929								
Please Be Kind				697	1938								
Please Don't Talk About Me When I'm Gone				634	1930								
Please Send Me Someone to Love				322	1950								
Poinciana				334	1936			y					072,
Polka Dots and Moonbeams				79	1940		y		y				023,058,
Poor Butterfly				196	1916			y					039,080,
Portrait of Jennie				795	1948								
Prelude to a Kiss				46	1938	y					y		012,
Prisoner of Love				670	1931		y						046,
Raincheck				412	1942								066,
Ray's Idea				780	1946								036,
Red Cross				978	1945		y						
Red Sails in the Sunset				600	1935								
Red Top				855	1947			y					
Reflections				706	1952	y							
Relaxin' At Camarillo				748	1947								
Remember				362	1925								
Rhythm-A-Ning				347	1958		y						
Ring Dem Bells				932	1930	y							
Riverboat Shuffle				985	1939								
Robbin's Nest				710	1947		y		y				036,
Rockin' Chair				437	1929			y		y			
Rockin' in Rhythm				369	1930		y					y	
Rocks in My Bed				933	1941								
Roll 'Em				814	1938								
Roll 'Em Pete				930	1941								
Rosalie				939	1937								
Rose of the Rio Grande				732	1922								
Rose Room				199	1917			y					079,
Rosetta				203	1933		y			y			006,
Round Midnight	y	y	y	4	1944	y						y	040,056,118,
Route 66				899	1946		y						
Royal Garden Blues				204	1919								100,
Ruby				637	1953						y		
Ruby My Dear				355	1945	y			y				036,056,
Rudolph the Red-Nosed Reindeer				981	1949								078,
Runnin' Wild				482	1922								
Russian Lullaby				469	1927		y						
S Wonderful				98	1927								
Salt Peanuts				796	1941		y						
Santa Claus Is Coming to Town				417	1934								078,
Satin Doll	y		y	45	1953	y			y				012,054,066,
Say It Isn't So				639	1932			y					
Scrapple from the Apple				271	1947	y							i,006,069,
Secret Love				311	1953							y	061,
See See Rider				468	1943								
Send in the Clowns				707	1973								
Sent for You Yesterday				816	1938								
Sentimental Journey	y			792	1944		y						
September in the Rain				274	1937							y	040,097,107,
September Song				76	1938		y			y			025,065,
Serenade in Blue				693	1942							y	
Serenata				891	1949						y		052,
Seven Come Eleven				562	1940	y							
Shaw Nuff				601	1945			y	y				
She's Funny That Way				192	1928								
Sheik of Araby				165	1921								100,
Shim-Me-Sha-Wabble				826	1917								
Shine				498	1910		y						
Shine on Harvest Moon				846	1908								
Shiny Stockings				421	1955							y	i,
Shoe Shine Boy				644	1936								
Sidewinder				727	1959	y							106,
Silent Night, Holy Night				476	1818								078,125,
Since I Fell for You				197	1945							y	
Sing, Sing, Sing				624	1936								
Singin' in the Rain				954	1929								
Sippin' At Bell's				851	1947		y						
Sister Sadie				544	1959			y					h,017,
Skylark				62	1941			y	y				032,107,
Smile				524	1954								
Smiles				777	1917								
Smoke Gets in Your Eyes				99	1933		y						055,085,
Smooth Sailing				961	1959								
Snowfall				900	1941								
So in Love				443	1948			y				y	112,
So Rare				946	1937								
So What				435	1959	y							050,
Soft Winds				314	1940								
Softly As a Morning Sunrise				132	1928		y					y	040,085,118,
Solar				402	1954	y			y				i,007,088,
Solitude				136	1934	y					y		012,
Some of These Days				405	1910								080,
Some Other Spring				631	1939	y							
Somebody Loves Me				172	1924	y						y	
Somebody Stole My Gal				593	1918								080,
Someday My Prince Will Come				240	1937	y			y				058,
Someday Sweetheart				364	1919								
Someone to Watch Over Me				77	1926							y	110,113,
Something to Live For				439	1939								
Sometime Ago				831	1962	y							
Sometimes I feel Like a Motherless Child				505	1918								
Sometimes I'm Happy				149	1925			y				y	
Somewhere				719	1956								
Sonny Boy				664	1928								
Soon				381	1929							y	022,
Sophisticated Lady				31	1933	y				y			012,
